State,"Honey producing colonies/1,000",Yield per colony (pounds),"Production (1,000 pounds)","Stocks December 15 (1,000 pounds)",Average price per pound (dollars),"Value of production (1,000 dollars)",Year,Colony_Number,Max_Colony_Number,Lost_Colony_Number,Added_Colony_Number,Renovated_Colony_Number,VarroaMites_Percent,Other_Pests_Parasites_Percent,Diseases_Percent,Pesticides_Percent,Other_Percent,Unknown_Percent
Wyoming,39,56,2184,306,1.35,2948,2017,84500,112000,13700,11700,7920,24.45,2.433333333,7.375,4.3,5.425,2.633333333
Other States ,30,47,1418,351,5.91,8380,2017,,,,,,,,,,,
United States ,2812,55.8,156922,41022,1.97,309136,2017,,,,,,,,,,,
Connecticut,,,,,,,2017,13600,13600,980,2540,590,30.675,1.5,0.1,0.55,5.675,2.633333333
Maryland,,,,,,,2017,33500,37500,5190,5290,2200,7.825,5.85,0.65,0.975,5.2,5.55
Massachusetts,,,,,,,2017,20200,26300,3490,2930,1610,35.25,4.775,5.525,4.85,3.3,1.8
New Mexico,,,,,,,2017,29000,29500,8200,9400,4100,85.675,1.4,59.36666667,11.95,12.675,0.633333333
Oklahoma,,,,,,,2017,59100,101400,1360,16120,3470,14.475,6.525,10.55,1.4,4.266666667,0.675
Other States 5/,,,,,,,2017,25890,30500,3120,1530,1780,,,,,,
United States,,,,,,,2017,11345890,0,1407200,1728590,1709290,46.15,15.3,6.4,11.925,9.125,6.075
Other States 4/,,,,,,,,,,,,,18.2,1.9,3.05,3.833333333,2,1.7
